experiment,seed,episode_id,total_cost,p2p_volume,p2p_utilisation,voltage_violation_rate,thermal_violation_rate,battery_soc_mean,battery_soc_min,battery_soc_max,battery_throughput,battery_cycles,buyer_welfare,seller_welfare,campus_welfare,grid_import,grid_export,mean_reward,episode_return
random,123,0,-48025.251063073185,2159.0519696191623,0.4750505893117985,0.16568047337278108,0.0,0.9430553489888208,0.5,0.949999988079071,224.99999403953552,0.22499999403953552,6131.707593718421,6131.707593718421,12263.415187436842,16964.22595376435,52326.87993995861,0.04438148546388523,157.50989191132868
random,123,1,-51027.55734791841,2199.4453306871233,0.4849635102587158,0.16568047337278108,0.0,0.9400733656431797,0.5,0.949999988079071,224.99999403953552,0.22499999403953552,6246.42473915143,6246.424739151431,12492.849478302862,16649.925519543896,52450.68829556212,0.04604899428902765,163.42788073175913
random,123,2,-52188.74518709323,2276.5004370417273,0.5058112982381643,0.16568047337278108,0.0,0.9382872937699042,0.5,0.949999988079071,224.99999403953552,0.22499999403953552,6465.261241198506,6465.261241198506,12930.522482397011,16464.531833168792,52352.43809758957,0.0466250036772473,165.47213805055065
random,123,3,-50094.94995609357,2222.4031381979985,0.49055020492028206,0.16568047337278108,0.0,0.939986010980324,0.5,0.949999988079071,224.99999403953552,0.22499999403953552,6311.624912482315,6311.624912482315,12623.24982496463,16718.382789764844,52345.44092490929,0.045781388689728524,162.47814845984652
random,123,4,266696.36100533657,3979.441384428689,0.4781688833858516,0.07100591715976332,0.0,0.8482410904218459,0.1237230896949768,0.949999988079071,5194.503039121628,5.194503039121628,11301.613531777477,11301.613531777479,22603.227063554958,50419.70775381673,40512.43179445781,-0.1173028998578023,-416.30799159534035
random,123,5,453083.089801901,5618.6397836070555,0.5207942926621789,0.029585798816568046,0.0,0.7279363067368784,0.10000000149011612,0.949999988079071,9990.178778767586,9.990178778767586,15956.936985444037,15956.93698544404,31913.873970888075,70242.40607902844,33537.22464668003,-0.21176886642821918,-751.5677069537498
random,123,6,442140.1806093158,5678.628138215073,0.5268475727842932,0.03550295857988166,0.0,0.7816510083230995,0.17616315186023712,0.949999988079071,9304.397836327553,9.304397836327553,16127.303912530806,16127.303912530808,32254.607825061612,68774.60951977357,33250.81094855026,-0.20595578251345595,-730.9370721402552
random,123,7,441812.1967812551,5308.704690966945,0.4923242101463866,0.023668639053254437,0.0,0.73647151305478,0.11512081325054169,0.949999988079071,10042.588040232658,10.042588040232658,15076.721322346124,15076.72132234612,30153.442644692244,69077.75745085052,34036.9456301058,-0.20686205913544337,-734.1534478716885
random,123,8,431735.0622367965,5394.233817410918,0.5178159766488704,0.029585798816568046,0.0,0.7118754026716982,0.10000000149011612,0.949999988079071,9803.936190903187,9.803936190903187,15319.624041447007,15319.624041447007,30639.248082894013,67327.61177201355,32860.94766997582,-0.20024289831338551,-710.6620461142052
random,123,9,422735.44616462686,4956.3624344107675,0.5134898286203718,0.01775147928994083,0.0,0.6728803011528134,0.10000000149011612,0.949999988079071,10470.927469432354,10.470927469432354,14076.069313726579,14076.069313726579,28152.138627453158,64658.343606488415,29278.10512029599,-0.19580053150261667,-694.8960863027866
random,123,10,414487.35879060195,5286.930908630024,0.5520497132031897,0.011834319526627219,0.0,0.7259147362948875,0.12663786113262177,0.949999988079071,9266.331896185875,9.266331896185875,15014.883780509266,15014.883780509266,30029.767561018532,63176.730404197115,28203.08820325971,-0.19018495645548428,-674.9664104605137
random,123,11,418959.1419564092,5296.57872765924,0.5435271347699068,0.011834319526627219,0.0,0.5477274247175138,0.10000000149011612,0.949999988079071,10086.37722581625,10.08637722581625,15042.283586552241,15042.283586552241,30084.567173104482,63938.480987810224,28690.86463321466,-0.19286534971694183,-684.4791261454266
random,123,12,412854.1547624419,5433.326042219722,0.5629329339551143,0.005917159763313609,0.0,0.7029959684204773,0.10000000149011612,0.949999988079071,9438.580520451069,9.438580520451069,15430.64595990401,15430.645959904006,30861.291919808016,62902.60530540315,28034.291706908378,-0.18930564651792253,-671.8457394921071
random,123,13,424967.2388094048,3651.2348000607626,0.5106390758504319,0.0,0.0,0.8004028296329566,0.3724990785121918,0.949999988079071,7970.290124416351,7.970290124416351,10369.506832172565,10369.506832172565,20739.01366434513,58509.9408783775,14575.499817239277,-0.1897261535586844,-673.338118979771
random,123,14,416243.9885545923,3643.4574942166373,0.5368222060701202,0.0,0.0,0.8408074825120395,0.30990439653396606,0.949999988079071,6905.082046985626,6.905082046985626,10347.41928357525,10347.41928357525,20694.8385671505,56107.82502826475,11526.62511959703,-0.18218709604726324,-646.5820038717372
random,123,15,420518.3604610636,3743.3812523437073,0.5558652483300558,0.0,0.0,0.8296862177594879,0.3369150459766388,0.949999988079071,7857.7446937561035,7.8577446937561035,10631.202756656128,10631.202756656128,21262.405513312257,56749.14842870632,11794.157087891275,-0.1739818761134077,-617.4616783264839
random,123,16,415135.6247057694,3600.1076134589157,0.5399098256981836,0.0,0.0,0.7929871049682065,0.12976233661174774,0.949999988079071,8370.369613170624,8.370369613170624,10224.30562222332,10224.30562222332,20448.61124444664,56244.04373033646,12149.8122742901,-0.17770831831657335,-630.6868217055188
random,123,17,267363.30603179894,2942.1341050030474,0.5685755372154331,0.0,0.0,0.717786624939484,0.10000000149011612,0.949999988079071,5743.452154099941,5.743452154099941,8355.660858208654,8355.660858208654,16711.321716417307,38143.603529034706,12221.08503647022,-0.10759673631803358,-381.8608171927012
random,123,18,190031.83240635064,2242.291091382847,0.5391022162275788,0.0,0.0,0.8663448929433992,0.33224743604660034,0.949999988079071,4586.565881967545,4.5865658819675446,6368.106699527285,6368.106699527283,12736.213399054568,28502.984517514735,11872.890845897324,-0.07167717560365398,-254.38229621736798
random,123,19,189254.45757027966,2268.8236954760223,0.5502253041720468,0.0,0.0,0.8582194601378498,0.11465834826231003,0.949999988079071,3887.596882879734,3.887596882879734,6443.459295151903,6443.459295151903,12886.918590303805,28288.31529729897,11599.80677042331,-0.07079888826601366,-251.26525445608246
